timestamp_0,timestamp_1,timestamp_2,timestamp_3,timestamp_4,timestamp_5,timestamp_6,timestamp_7,timestamp_8,timestamp_9,timestamp_10,PM2.5,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,PM10
13620679,13620675,13620661,13620674,13620665,13620670,13620687,13620667,13620679,13620673,13620674,4.0,4.0,7.0,300.0,77.0,-0.7,1023.0,-18.8,0.0,4.4,4.0
13620694,13620702,13620713,13620700,13620711,13620696,13620716,13620723,13620704,13620694,13620705,8.0,4.0,7.0,300.0,77.0,-1.1,1023.2,-18.2,0.0,4.7,8.0
13620742,13620745,13620732,13620729,13620743,13620731,13620744,13620754,13620753,13620713,13620729,7.0,5.0,10.0,300.0,73.0,-1.1,1023.5,-18.2,0.0,5.6,7.0
13620771,13620772,13620785,13620769,13620772,13620787,13620776,13620775,13620788,13620770,13620783,6.0,11.0,11.0,300.0,72.0,-1.4,1024.5,-19.4,0.0,3.1,6.0
13620810,13620811,13620820,13620809,13620802,13620824,13620797,13620831,13620799,13620831,13620798,3.0,12.0,12.0,300.0,72.0,-2.0,1025.2,-19.5,0.0,2.0,3.0
13620860,13620867,13620854,13620874,13620840,13620846,13620844,13620854,13620845,13620860,13620851,5.0,18.0,18.0,400.0,66.0,-2.2,1025.6,-19.6,0.0,3.7,5.0
13620888,13620889,13620879,13620893,13620902,13620882,13620876,13620901,13620893,13620909,13620891,3.0,18.0,32.0,500.0,50.0,-2.6,1026.5,-19.1,0.0,2.5,3.0
13620951,13620931,13620921,13620938,13620928,13620909,13620936,13620925,13620921,13620939,13620954,3.0,19.0,41.0,500.0,43.0,-1.6,1027.4,-19.1,0.0,3.8,6.0
13620956,13620976,13620960,13620968,13620966,13620948,13620941,13620956,13620964,13620950,13620948,3.0,16.0,43.0,500.0,45.0,0.1,1028.3,-19.2,0.0,4.1,6.0
13620989,13621000,13620982,13621008,13621001,13621003,13621001,13620990,13620994,13620988,13620985,3.0,12.0,28.0,400.0,59.0,1.2,1028.5,-19.3,0.0,2.6,8.0
