timestamp,Global_active_power,Global_reactive_power,Voltage,Global_intensity
1166261040,4.216,0.418,234.84,18.4
1166261100,5.36,0.436,233.63,23.0
1166261160,5.374,0.498,233.29,23.0
1166261220,5.388,0.502,233.74,23.0
1166261280,3.6660000000000004,0.528,235.68,15.8
1166261340,3.52,0.522,235.02,15.0
1166261400,3.702,0.52,235.09,15.8
1166261460,3.7,0.52,235.22,15.8
1166261520,3.668,0.51,233.99,15.8
1166261580,3.662,0.51,233.86,15.8
1166261640,4.448,0.498,232.86,19.6
1166261700,5.412000000000001,0.47,232.78,23.2
1166261760,5.224,0.478,232.99,22.4
1166261820,5.268,0.39799999999999996,232.91,22.6
1166261880,4.053999999999999,0.42200000000000004,235.24,17.6
1166261940,3.384,0.282,237.14,14.2
1166262000,3.27,0.152,236.73,13.8
1166262060,3.43,0.156,237.06,14.4
1166262120,3.266,0.0,237.13,13.8
1166262180,3.728,0.0,235.84,16.4
1166262240,5.894,0.0,232.69,25.4
1166262300,7.706,0.0,230.98,33.2
1166262360,7.026,0.0,232.21,30.6
1166262420,5.1739999999999995,0.0,234.19,22.0
1166262480,4.474,0.0,234.96,19.4
1166262540,3.248,0.0,236.66,13.6
1166262600,3.236,0.0,235.84,13.6
1166262660,3.228,0.0,235.6,13.6
1166262720,3.258,0.0,235.49,13.8
1166262780,3.178,0.0,235.28,13.4
1166262840,2.72,0.0,235.06,11.6
1166262900,3.758,0.076,234.17,16.4
1166262960,4.342,0.09,233.77,18.4
1166263020,4.512,0.0,233.62,19.2
1166263080,4.058,0.2,234.68,17.6
1166263140,2.472,0.057999999999999996,236.94,10.4
1166263200,2.79,0.18,237.52,11.8
1166263260,2.6239999999999997,0.14400000000000002,238.2,11.0
1166263320,2.772,0.11800000000000001,238.28,11.6
1166263380,3.74,0.10800000000000001,236.93,16.4
1166263440,4.928,0.20199999999999999,235.01,21.0
1166263500,6.0520000000000005,0.192,232.93,26.2
1166263560,6.752000000000001,0.18600000000000003,232.12,29.0
1166263620,6.474,0.14400000000000002,231.85,27.8
1166263680,6.308,0.11599999999999999,232.25,27.0
1166263740,4.4639999999999995,0.136,234.66,19.0
1166263800,3.3960000000000004,0.14800000000000002,236.2,15.0
1166263860,3.09,0.152,237.07,13.8
1166263920,3.73,0.14400000000000002,235.78,16.4
1166263980,2.3080000000000003,0.16,237.43,9.6
1166264040,2.388,0.158,237.26,10.0
1166264100,4.598,0.1,234.25,21.4
1166264160,4.524,0.076,234.2,19.6
1166264220,4.202,0.08199999999999999,234.31,17.8
1166264280,4.4719999999999995,0.0,233.29,19.2
1166264340,2.852,0.0,235.61,12.0
1166264400,2.928,0.0,235.25,12.4
1166264460,2.94,0.0,236.04,12.4
1166264520,2.9339999999999997,0.0,235.51,12.4
1166264580,2.926,0.0,235.68,12.4
1166264640,3.452,0.0,235.2,15.2
1166264700,4.87,0.0,233.74,20.8
1166264760,4.868,0.0,233.84,20.8
1166264820,4.8660000000000005,0.0,233.79,20.8
1166264880,3.176,0.0,235.5,13.8
1166264940,2.92,0.0,235.84,12.4
1166265000,2.93,0.0,236.15,12.4
1166265060,2.912,0.05,235.81,12.4
1166265120,2.608,0.052000000000000005,235.41,11.0
1166265180,2.714,0.162,234.82,11.6
1166265240,3.5380000000000003,0.086,233.76,15.6
1166265300,6.072,0.0,232.48,26.4
1166265360,4.5360000000000005,0.0,233.54,19.4
1166265420,4.408,0.0,232.32,18.8
1166265480,2.912,0.048,234.02,13.0
1166265540,2.326,0.054000000000000006,234.76,9.8
1166265600,2.2640000000000002,0.054000000000000006,234.67,9.6
1166265660,2.27,0.054000000000000006,235.27,9.6
1166265720,2.258,0.054000000000000006,235.12,9.6
1166265780,2.188,0.068,235.8,9.2
1166265840,2.978,0.166,234.81,13.2
1166265900,4.2,0.174,234.38,17.8
1166265960,4.204,0.18600000000000003,234.2,17.8
1166266020,4.218,0.17800000000000002,233.98,18.0
1166266080,2.786,0.188,234.99,12.0
1166266140,2.54,0.08800000000000001,234.67,10.8
1166266200,2.496,0.08,233.92,10.6
1166266260,2.336,0.07,233.51,10.0
1166266320,2.322,0.0,233.44,9.8
1166266380,2.448,0.0,233.64,10.6
1166266440,4.298,0.0,232.39,18.4
1166266500,4.23,0.09,232.25,18.2
1166266560,4.23,0.09,232.32,18.2
1166266620,3.924,0.084,232.79,17.0
1166266680,4.218,0.09,232.09,18.0
1166266740,4.224,0.09,231.96,18.2
1166266800,4.07,0.08800000000000001,231.99,17.4
1166266860,3.612,0.09,232.36,15.6
1166266920,3.458,0.09,232.71,14.8
1166266980,3.4339999999999997,0.09,232.01,14.8
1166267040,3.366,0.0,232.78,14.4
1166267100,3.404,0.08199999999999999,233.08,14.6
1166267160,3.3819999999999997,0.07400000000000001,233.69,14.4
1166267220,3.616,0.106,234.44,15.4
1166267280,3.4760000000000004,0.092,234.6,14.8
1166267340,3.3939999999999997,0.064,235.12,14.4
1166267400,3.4,0.0,234.28,14.4
1166267460,3.4139999999999997,0.0,234.19,14.4
1166267520,3.432,0.0,234.69,14.6
1166267580,3.418,0.0,234.26,14.6
1166267640,3.392,0.0,233.3,14.4
1166267700,3.3939999999999997,0.0,233.43,14.4
1166267760,3.3939999999999997,0.0,233.45,14.4
1166267820,3.406,0.0,233.91,14.4
1166267880,3.42,0.0,234.43,14.6
1166267940,3.418,0.0,234.34,14.4
1166268000,3.4219999999999997,0.052000000000000005,234.58,14.6
1166268060,3.332,0.0,234.02,14.2
1166268120,3.3160000000000003,0.046,234.29,14.0
1166268180,3.3339999999999996,0.0,234.36,14.2
1166268240,3.262,0.052000000000000005,232.64,14.0
1166268300,3.4760000000000004,0.064,232.96,14.8
1166268360,3.62,0.09,233.47,15.4
1166268420,3.61,0.084,234.98,15.2
1166268480,3.6460000000000004,0.138,234.34,15.4
1166268540,3.614,0.192,233.92,15.4
1166268600,3.408,0.162,233.94,14.4
1166268660,3.388,0.134,233.72,14.4
1166268720,3.372,0.132,233.2,14.4
1166268780,3.37,0.132,233.1,14.4
1166268840,3.342,0.12,232.29,14.4
1166268900,3.284,0.0,232.45,14.0
1166268960,3.2760000000000002,0.0,231.97,14.0
1166269020,3.3819999999999997,0.13,232.42,14.4
1166269080,3.418,0.16,233.38,14.6
1166269140,3.3960000000000004,0.158,232.69,14.6
1166269200,3.406,0.158,233.2,14.6
1166269260,3.406,0.158,233.26,14.6
1166269320,3.392,0.156,232.84,14.4
1166269380,3.378,0.154,232.39,14.4
1166269440,3.3680000000000003,0.154,232.14,14.4
1166269500,3.35,0.152,231.57,14.4
1166269560,3.352,0.152,231.66,14.4
1166269620,3.364,0.154,232.22,14.4
1166269680,3.38,0.156,232.81,14.4
1166269740,3.404,0.16,233.77,14.4
1166269800,3.378,0.156,232.82,14.4
1166269860,3.388,0.158,233.22,14.4
1166269920,3.3760000000000003,0.156,232.84,14.4
1166269980,3.2539999999999996,0.0,232.75,13.8
1166270040,3.214,0.078,232.64,13.8
1166270100,3.202,0.078,232.2,13.8
1166270160,3.202,0.078,232.2,13.8
1166270220,3.2119999999999997,0.078,232.58,13.8
1166270280,3.2060000000000004,0.078,232.4,13.8
1166270340,3.214,0.078,232.66,13.8
1166270400,3.2060000000000004,0.078,232.43,13.8
1166270460,3.222,0.078,233.02,13.8
1166270520,3.216,0.076,232.8,13.8
1166270580,3.216,0.078,232.79,13.8
1166270640,3.194,0.078,231.98,13.6
1166270700,3.278,0.0,232.88,14.0
1166270760,3.282,0.0,232.52,14.0
1166270820,3.292,0.0,232.87,14.0
1166270880,3.3160000000000003,0.0,233.78,14.0
1166270940,3.37,0.08,233.69,14.4
1166271000,3.42,0.14400000000000002,234.04,14.6
1166271060,3.41,0.142,233.93,14.6
1166271120,3.4,0.14,233.62,14.4
1166271180,3.4,0.14,233.64,14.4
1166271240,3.388,0.14,233.26,14.4
1166271300,3.37,0.086,233.9,14.4
1166271360,3.332,0.0,233.68,14.2
1166271420,3.31,0.0,232.83,14.2
1166271480,3.312,0.0,233.0,14.2
1166271540,3.3139999999999996,0.0,233.08,14.2
1166271600,3.302,0.0,232.69,14.2
1166271660,3.302,0.0,232.91,14.0
1166271720,3.3,0.0,232.87,14.0
1166271780,3.29,0.0,232.42,14.0
1166271840,3.286,0.0,232.31,14.0
1166271900,3.23,0.052000000000000005,232.79,13.8
1166271960,3.218,0.078,233.05,13.8
1166272020,3.258,0.076,234.57,13.8
1166272080,3.264,0.076,234.79,13.8
1166272140,3.26,0.076,234.6,13.8
1166272200,3.262,0.076,234.54,13.8
1166272260,3.264,0.076,234.6,13.8
1166272320,3.238,0.076,233.77,13.8
1166272380,3.228,0.078,233.5,13.8
1166272440,3.222,0.078,233.27,13.8
1166272500,3.2260000000000004,0.078,233.37,13.8
1166272560,3.2060000000000004,0.078,232.64,13.6
1166272620,3.188,0.08,231.95,13.6
1166272680,3.196,0.08,232.21,13.6
1166272740,3.2039999999999997,0.078,232.5,13.6
1166272800,3.2319999999999998,0.078,233.63,13.8
1166272860,3.2539999999999996,0.07400000000000001,234.43,13.8
1166272920,3.3760000000000003,0.05,234.63,14.4
1166272980,3.372,0.048,235.05,14.2
1166273040,3.366,0.048,234.96,14.2
1166273100,3.386,0.05,235.77,14.2
1166273160,3.4960000000000004,0.146,236.76,14.8
1166273220,3.426,0.146,234.59,14.6
1166273280,3.44,0.14800000000000002,235.13,14.6
1166273340,3.44,0.146,235.14,14.6
1166273400,3.4539999999999997,0.15,235.75,14.6
1166273460,3.45,0.15,235.69,14.6
1166273520,3.48,0.154,236.86,14.6
1166273580,3.4739999999999998,0.152,236.72,14.6
1166273640,3.4560000000000004,0.15,236.05,14.6
1166273700,1.8319999999999999,0.17,237.54,8.4
1166273760,2.044,0.102,237.44,9.4
1166273820,3.3539999999999996,0.0,237.0,14.0
1166273880,3.282,0.07400000000000001,235.55,13.8
1166273940,3.3080000000000003,0.07400000000000001,236.51,14.0
1166274000,3.3139999999999996,0.07200000000000001,236.76,14.0
1166274060,3.306,0.07200000000000001,237.11,13.8
1166274120,1.692,0.054000000000000006,238.72,7.8
1166274180,3.342,0.07,237.66,14.0
1166274240,3.3539999999999996,0.07,238.2,14.0
1166274300,3.3339999999999996,0.07200000000000001,237.46,14.0
1166274360,3.33,0.07200000000000001,237.36,14.0
1166274420,2.74,0.064,238.13,12.0
1166274480,2.188,0.06,237.74,10.0
1166274540,3.33,0.07,237.26,14.0
1166274600,3.34,0.07,237.69,14.0
1166274660,3.306,0.07200000000000001,236.44,14.0
1166274720,3.0439999999999996,0.07200000000000001,236.23,13.2
1166274780,1.766,0.057999999999999996,237.7,8.2
1166274840,3.3760000000000003,0.0,235.73,14.2
1166274900,3.4139999999999997,0.052000000000000005,236.51,14.4
1166274960,3.426,0.054000000000000006,237.11,14.4
1166275020,3.42,0.054000000000000006,237.06,14.4
1166275080,1.876,0.07400000000000001,238.63,8.6
1166275140,3.4419999999999997,0.055999999999999994,237.58,14.4
1166275200,3.4139999999999997,0.054000000000000006,236.87,14.4
